      rus           |   lat          |      eng
Желтозобик  |  Tryngites subruficollis  |  Buff-breasted Sandpiper
Мородунка  |  Xenus cinereus  |  Terek Sandpiper
Бегунок  |  Cursorius cursor  |  Cream-coloured Courser
Восточная тиркушка  |  Glareola maldivarum  |  Oriental Pratincole
Степная тиркушка  |  Glareola nordmanni  |  Black-winged Pratincole
Луговая тиркушка  |  Glareola pratincola  |  Collared Pratincole
Длиннохвостый поморник  |  Stercorarius longicaudus  |  Long-tailed Skua
Поморник южнополярный  |  Stercorarius maccormicki  |  South Polar Skua
Короткохвостый поморник  |  Stercorarius parasiticus  |  Arctic Skua Parasitic Skua
Средний поморник  |  Stercorarius pomarinus  |  Pomarine Skua
Большой поморник  |  Catharacta skua  |  Great Skua
Белощекая крачка  |  Chlidonias hybridus  |  Whiskered Tern
Белокрылая крачка  |  Chlidonias leucopterus  |  White-winged Tern
Черная крачка  |  Chlidonias niger  |  Black Tern
Чайконосая крачка  |  Gelochelidon nilotica  |  Gull-billed Tern
Чеграва  |  Hydroprogne caspia  |  Caspian Tern
Серебристая чайка  |  Larus argentatus  |  European Herring Gull
Чайка армянская  |  Larus armenicus  |  Armenian Gull
Чайка ацтекская  |  Larus atricilla  |  Laughing Gull
Чайка Одуэнова  |  Larus audouinii  |  Audouin's Gull
Буроголовая чайка  |  Larus brunnicephalus  |  Brown-headed Gull
Хохотунья  |  Larus cachinnans  |  Caspian Gull
Сизая чайка  |  Larus canus  |  Common Gull
Чернохвостая чайка  |  Larus crassirostris  |  Black-tailed Gull
Клуша  |  Larus fuscus  |  Lesser Black-backed Gull
Морской голубок  |  Larus genei  |  Slender-billed Gull
Серокрылая чайка  |  Larus glaucescens  |  Glaucous-winged Gull
Полярная чайка  |  Larus glaucoides  |  Iceland Gull
Восточная клуша  |  Larus heuglini  |  Heuglin's Gull
Бургомистр  |  Larus hyperboreus  |  Glaucous Gull
Черноголовый хохотун  |  Larus ichthyaetus  |  Pallas's Gull
Морская чайка  |  Larus marinus  |  Great Black-backed Gull
